title_year,budget,gross,actor_1_facebook_likes,high_score
2014,20000000,84518155,989,0
1999,21000000,52008288,893,1
2000,82000000,34543701,3000,0
1999,21500000,24362501,12000,1
2013,5000000,44456509,399,1
2014,15000000,37877959,2000,1
2000,24000000,12372410,1000,0
2011,30000000,26687172,759,1
1999,50000000,81517441,1000,1
2004,6500000,54557348,3000,1
2005,25000000,16247775,1000,0
2011,20000000,100292856,3000,0
2007,180000,9437933,200,1
2011,15000000,44667095,996,1
2001,90000000,6712451,752,0
2014,12000000,91443253,399,0
2002,13500000,15854988,2000,1
2006,1500000,327919,1000,1
2013,2500000,40041683,713,0
1999,40000000,81292135,22000,1
2002,13000000,28972187,11000,0
2004,12000000,261481,878,1
2000,12800000,4157491,963,1
1993,3500000,27900000,851,1
2011,57000000,51774002,12000,0
2002,35000000,16988996,3000,0
1996,54000000,128769345,851,0
2008,1000000,2508841,496,1
1995,33000000,100125340,11000,1
2006,1592000,638951,51,1
2008,40000000,1027749,991,1
2011,7400000,3029870,10000,1
2011,3000000,22000,2000,0
1992,40000000,72455275,855,1
2006,17000000,273420,1000,0
1981,20000000,8500000,691,0
2010,7000000,46451,26000,0
2005,1000000,9013113,2000,1
1989,18000000,26830000,18000,1
2014,65000000,85911262,2000,0
1998,60000,536767,1000,0
1985,12000000,65500000,11000,1
1990,34000,333658,882,1
2003,218,592014,58,1
1998,1300000,1647780,280,1
2010,5000000,2221809,967,0
2006,90000000,33574332,23000,1
1999,10000000,6201757,1000,1
1977,14000000,46800000,456,1
1989,1200000,24741700,828,1
2016,15000000,71897215,14000,1
1980,6000000,39800000,13000,1
2000,19000000,15911333,1000,0
2013,25000000,4756,2000,0
2006,40000000,652526,15000,0
2004,200000,381225,66,1
2008,20000000,30028592,26000,1
2012,17000000,24397469,1000,0
2006,20000000,20259297,16000,0
1999,27000000,31768374,1000,0
2005,8000000,127144,8000,0
2016,29000000,63034755,22000,0
1992,1200000,2812029,16000,1
2009,30000000,79566871,1000,0
1999,25000000,13038660,876,1
2006,50000000,88658172,14000,0
1995,58000000,106635996,394,1
2003,35200000,37788228,1000,0
2000,31000000,44983704,2000,1
2007,20000000,4001121,23000,0
1983,27000000,21500000,2000,1
2002,12000000,37188667,1000,0
2002,60000000,90341670,12000,0
2012,500000,133778,14,1
2005,8000000,22201636,275,1
2004,24000000,4710455,23000,1
2011,8000000,10106233,1000,0
2003,12000000,4717455,1000,0
2012,8900000,225377,678,1
2012,32000000,16377274,378,1
2008,16500000,26896744,851,0
2014,4000000,143653,507,0
2008,30000000,60269340,2000,0
1997,3000000,24629916,2000,0
2012,40000000,37101011,405,0
1985,31000000,87100000,11000,1
2015,2300000,12985267,2000,0
2010,14000000,1752214,1000,1
2015,8495000,1712111,3000,0
2015,75000000,45434443,15000,1
2014,8500000,32279955,15000,1
2012,40000000,95720716,1000,1
2002,17000000,12693621,1000,0
1994,6200000,126247,16000,0
2015,55000000,43247140,963,1
2005,30000000,14888028,849,0
2002,2000000,2506446,8000,0
2009,16000000,11956207,1000,0
2002,60000000,121468960,13000,1
2015,12000000,14616,1000,1
2000,65000000,123307945,611,0
2011,2450000,178739,847,0
2005,20000000,11034436,5000,1
2005,40000000,30981850,1000,0
1998,1500000,2365931,1000,1
2012,2500000,3325638,902,1
1986,3000000,19472057,956,0
2007,9000000,24530513,909,1
2004,30000000,499263,260,1
2006,8000000,59889948,7000,1
2011,27000000,38536376,2000,0
1995,40000000,14942422,12000,0
1993,15000000,22189039,1000,0
2002,11000000,3034181,658,0
1997,71000000,11466088,995,0
2002,38000000,39177215,970,0
1974,2800000,86300000,1000,1
2008,80000000,79363785,18000,0
2001,25000000,22723,776,0
2006,76000000,35286428,16000,1
2004,28000000,64371181,639,1
1998,35000000,10076136,635,0
2015,36000000,2126511,461,1
2007,10000000,17544812,1000,0
1986,1900000,4600000,18000,1
2012,750000,4007792,934,0
2012,1000000,5997134,422,1
2006,25000000,34300771,11000,1
2001,15000000,7219578,6000,1
2007,2000000,952620,569,0
1988,15000000,73326666,925,1
1985,15000000,94175854,852,1
2007,2000000,1430185,393,1
2007,55000000,53574088,23000,1
1998,60000000,125603360,2000,1
2000,55000000,19389454,21000,1
2007,1300000,1060591,227,1
2000,13000000,46729374,3000,0
2013,8500000,21564616,3000,0
2007,20000000,121463226,15000,1
2001,12000000,2326407,5000,0
1997,55000000,105263257,3000,0
2000,16000000,15427192,8000,0
2001,17700000,27087695,861,0
2002,11000000,4814244,960,0
1987,1300000,354704,10000,0
2006,2400000,978908,973,0
2013,30000000,116631310,15000,1
2001,45000000,71277420,1000,0
2002,25000000,13973532,985,0
2014,35000000,10499968,1000,0
2003,46000,1127331,30,1
2001,57000000,25528495,23000,0
2004,25000000,14334645,22000,0
1984,1800000,32600000,158,0
2001,14000000,3100650,159,0
1999,10000000,10824921,989,1
2013,15000000,9123834,931,0
2006,8700000,5480996,21000,1
2002,9000000,112935,149,1
2004,47000000,6167817,226,1
2008,55000000,69951824,10000,1
2004,18000000,64955956,748,0
2003,18000000,56127162,500,0
2010,3500000,20803237,14000,1
1981,14000000,800000,902,0
2011,8000000,34963967,23000,1
2015,30000000,1865774,27000,0
1998,45000000,70001065,886,1
1984,8000000,90800000,668,1
2009,4000000,101055,648,0
2007,30000,243768,32,0
1991,70000000,17218080,13000,0
2007,25000000,17114882,10000,1
1998,7500000,6712241,1000,1
2008,12000000,3148482,812,1
1994,25000000,32055248,924,0
2002,10000000,6044618,12000,0
2005,15500000,1181197,1000,0
2008,30000000,10955425,165,0
1988,30000000,38413606,22000,1
2016,5000000,9658370,927,0
2008,20000000,94497271,2000,0
2011,45000000,88625922,970,1
1987,4000000,800000,721,0
2008,25000000,48237389,15000,0
2009,8000000,16699684,24000,0
1987,51000000,14375181,636,0
1975,4400000,112000000,888,1
2009,35000000,10268846,1000,0
2005,56000000,113006880,14000,0
2013,55000000,55747724,1000,0
2013,11000000,13214255,3000,1
2000,40000000,30199105,2000,0
1991,11000000,2807854,14000,0
2013,12000000,15294553,565,1
2005,26000000,109243478,7000,1
2004,35000000,75367693,13000,0
2005,10000000,55865715,494,0
1995,45000000,20302961,16000,0
2004,25000000,31526393,601,0
2000,16000000,20627372,3000,0
2008,900000,18378,1000,0
1995,55000000,37600435,919,0
2015,35000000,34507079,472,0
2007,80000000,15071514,1000,0
1996,3500000,16501785,2000,1
2011,23000000,18934858,17000,0
1997,17000000,53868030,8000,0
1996,47000000,60154431,2000,0
2004,150000,191309,308,0
2013,25000000,16969390,13000,0
2002,15000000,30259652,2000,0
2002,70000000,14294842,349,0
2002,18000000,676698,1000,1
2009,15000000,5306447,860,1
2010,25000000,11538204,18000,0
2005,70000000,47379090,745,1
2012,20000000,3749061,15000,0
1999,17000000,11634458,1000,0
2000,65000000,10014234,975,0
1998,3000000,3000000,22000,1
