duration,num_voted_users,num_critic_for_reviews,num_user_for_reviews,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,movie_facebook_likes,imdb_score,gross,facenumber_in_poster,budget,title_year
90,23021,137,220,65,1000,989,683,3155,816,0.5900000000000001,10042266,0,1000000,2005
87,97089,225,233,124,865,441,77,1417,20000,0.5700000000000001,29136626,0,60000000,2011
300,1666,31,47,6,7,6,6,32,124,0.6599999999999999,454255,3,400000000,2001
133,112175,57,329,380,12000,11000,918,26388,11000,0.75,66528842,2,30000000,1994
134,5603,73,45,45,9,2,429,11,607,0.71,195888,0,2500000000,2005
99,15877,93,102,26,720,669,650,3327,590,0.5900000000000001,25584685,5,20000000,2007
124,184637,293,498,171,21000,17000,10000,52547,29000,0.4900000000000001,300523113,3,68000000,2010
113,46480,211,115,88,22000,13000,785,36009,12000,0.64,29802761,1,40000000,2013
117,107923,84,197,179,1000,398,239,1862,7000,0.71,52700832,4,4500000,1994
123,192930,316,581,456,19000,1000,286,20499,12000,0.78,50921738,1,30000000,2007
99,21034,82,153,130,399,116,79,663,23000,0.58,91443253,1,12000000,2014
88,52069,184,95,65,3000,697,681,5706,7000,0.5599999999999999,19316646,3,30000000,2013
108,62271,93,277,79,650,293,268,1569,7000,0.58,67155742,1,116000000,1997
99,9376,114,74,4,1000,233,201,1558,7000,0.52,18378,0,900000,2008
97,184795,207,310,91,11000,2000,760,14868,22000,0.74,93452056,1,45000000,2007
96,22929,137,287,2,742,256,120,1308,926,0.52,11642254,1,3000000,1989
124,77673,163,463,42,11000,973,848,13073,7000,0.6,68642452,3,130000000,2005
94,12077,44,162,10,694,605,141,1668,433,0.6,13264986,2,35000000,2001
94,237848,487,377,91,13000,13000,559,27911,71000,0.78,45507053,2,16000000,2012
118,6476,98,71,650,1000,773,715,3389,7000,0.5700000000000001,30920167,4,25000000,2012
115,23302,110,181,234,3000,552,521,4713,1000,0.65,56702901,1,60000000,1998
104,235025,376,265,37,12000,779,760,14863,44000,0.73,268488329,0,200000000,2013
104,128593,181,867,91,8000,1000,898,11632,7000,0.6900000000000001,30059386,5,22000000,2001
124,49536,134,379,258,867,826,748,3424,7000,0.5900000000000001,68473360,0,75000000,2000
81,13523,159,95,26,2000,509,300,3344,7000,0.6900000000000001,56536016,0,4900000,2016
164,354228,422,802,91,5000,972,773,9152,65000,0.75,255108370,0,250000000,2014
89,10624,96,125,17,690,190,85,1160,7000,0.62,12947763,0,5000000,1986
