color,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Color,137,90,65,683,1000,10042266,23021,3155,0,220,English,USA,PG-13,1000000,2005,989,0.59,816
Color,225,87,124,77,865,29136626,97089,1417,0,233,English,USA,PG-13,60000000,2011,441,0.57,20000
Color,31,300,6,6,7,454255,1666,32,3,47,Thai,Thailand,R,400000000,2001,6,0.66,124
Color,57,133,380,918,12000,66528842,112175,26388,2,329,English,USA,R,30000000,1994,11000,0.75,11000
Color,73,134,45,429,9,195888,5603,11,0,45,Hungarian,Hungary,R,2500000000,2005,2,0.71,607
Color,93,99,26,650,720,25584685,15877,3327,5,102,English,USA,PG,20000000,2007,669,0.59,590
Color,293,124,171,10000,21000,300523113,184637,52547,3,498,English,USA,PG-13,68000000,2010,17000,0.49,29000
Color,211,113,88,785,22000,29802761,46480,36009,1,115,English,USA,PG-13,40000000,2013,13000,0.64,12000
Color,84,117,179,239,1000,52700832,107923,1862,4,197,English,UK,R,4500000,1994,398,0.71,7000
Color,316,123,456,286,19000,50921738,192930,20499,1,581,English,UK,R,30000000,2007,1000,0.78,12000
Color,82,99,130,79,399,91443253,21034,663,1,153,English,USA,PG,12000000,2014,116,0.58,23000
Color,184,88,65,681,3000,19316646,52069,5706,3,95,English,USA,R,30000000,2013,697,0.56,7000
Color,93,108,79,268,650,67155742,62271,1569,1,277,English,USA,PG-13,116000000,1997,293,0.58,7000
Color,114,99,4,201,1000,18378,9376,1558,0,74,English,UK,R,900000,2008,233,0.52,7000
Color,207,97,91,760,11000,93452056,184795,14868,1,310,English,USA,PG-13,45000000,2007,2000,0.74,22000
Color,137,96,2,120,742,11642254,22929,1308,1,287,English,USA,NC-17,3000000,1989,256,0.52,926
Color,163,124,42,848,11000,68642452,77673,13073,3,463,English,UK,PG-13,130000000,2005,973,0.6,7000
Color,44,94,10,141,694,13264986,12077,1668,2,162,English,USA,PG-13,35000000,2001,605,0.6,433
Color,487,94,91,559,13000,45507053,237848,27911,2,377,English,USA,PG-13,16000000,2012,13000,0.78,71000
Color,98,118,650,715,1000,30920167,6476,3389,4,71,English,USA,PG-13,25000000,2012,773,0.57,7000
Color,110,115,234,521,3000,56702901,23302,4713,1,181,English,USA,PG-13,60000000,1998,552,0.65,1000
Color,376,104,37,760,12000,268488329,235025,14863,0,265,English,USA,G,200000000,2013,779,0.73,44000
Color,181,104,91,898,8000,30059386,128593,11632,5,867,English,USA,R,22000000,2001,1000,0.69,7000
Color,134,124,258,748,867,68473360,49536,3424,0,379,English,USA,PG-13,75000000,2000,826,0.59,7000
Color,159,81,26,300,2000,56536016,13523,3344,0,95,English,USA,PG-13,4900000,2016,509,0.69,7000
Color,422,164,91,773,5000,255108370,354228,9152,0,802,English,New Zealand,PG-13,250000000,2014,972,0.75,65000
Color,96,89,17,85,690,12947763,10624,1160,0,125,English,USA,R,5000000,1986,190,0.62,7000
Black and White,151,121,17000,356,22000,45250,235133,23008,1,494,English,USA,R,18000000,1980,394,0.83,7000
Color,60,107,12000,695,10000,82670733,60476,14006,0,97,English,USA,PG-13,60000000,1990,3000,0.59,7000
Color,240,121,91,854,19000,22518325,63363,22833,0,644,English,Germany,R,50000000,2006,972,0.56,7000
Color,370,106,4000,591,19000,362645141,106072,32921,0,398,English,UK,PG,175000000,2016,13000,0.78,65000
Color,76,108,54,463,786,8054280,6838,2730,3,117,English,USA,PG-13,20000000,2004,567,0.63,924
Color,451,215,91,413,986,107503316,392474,2530,1,1229,English,USA,R,130000000,2009,745,0.77,18000
Color,237,111,101,681,966,45045037,103230,3393,3,143,English,USA,R,36000000,2011,919,0.59,10000
Color,287,120,91,5,103,128067808,217740,129,3,1641,Mandarin,Taiwan,PG-13,15000000,2000,21,0.79,7000
Color,166,111,91,725,856,9525276,60156,3309,0,299,English,USA,R,20000000,2007,742,0.68,7000
Color,43,86,302,428,893,226792,3080,3049,2,44,English,UK,R,10000000,2001,798,0.62,117
Color,75,83,7,485,2000,10431220,24216,4024,0,162,English,USA,R,24000000,1999,577,0.41,401
Color,91,176,58,60,711,88246220,144337,1004,0,309,English,USA,PG-13,175000000,1995,60,0.61,7000
Color,131,88,55,150,506,44793200,49820,1584,0,311,English,USA,NC-17,4500000,1987,449,0.66,7000
Color,157,115,91,35,85,5383834,173551,318,0,361,Spanish,Mexico,R,2000000,2000,79,0.81,11000
Color,158,123,91,23,3000,37339525,71708,3768,1,307,English,USA,R,48000000,1998,745,0.7,7000
Color,141,130,317,256,18000,19593740,88270,32637,0,420,English,USA,R,50000000,2003,14000,0.75,7000
Color,129,100,17,86,669,6852144,15169,1267,0,213,English,Canada,PG-13,22000000,2003,429,0.62,7000
Color,213,105,91,52,1000,1260917,24657,1342,4,71,French,France,R,27000000,2009,172,0.72,7000
Color,108,111,91,529,11000,108244774,94049,13645,2,301,English,USA,G,37000000,2001,995,0.62,7000
Color,104,101,37,595,2000,13208023,17309,4262,1,388,English,UK,R,42000000,2002,886,0.33,612
Color,97,104,38,690,801,3447339,29517,2667,7,79,English,USA,R,1500000,2013,727,0.58,7000
Color,229,121,353,18,45,3073392,59462,142,0,300,English,Canada,R,25000000,2008,30,0.66,7000
Color,73,89,18,226,658,66734992,23476,1233,0,181,English,USA,PG,60000000,2003,257,0.44,858
Color,71,105,96,35,509,35811509,43013,888,0,104,English,Australia,PG-13,5500000,1996,294,0.77,7000
Color,204,107,91,255,2000,38400000,600266,3582,1,692,English,UK,R,6500000,1984,663,0.81,13000
Color,147,101,11000,512,13000,70906973,437418,15500,1,609,English,USA,PG,14600000,1993,571,0.81,38000
Color,103,100,91,1000,12000,85570368,44885,18291,1,107,English,USA,PG,38000000,2002,2000,0.51,478
Color,139,106,102,970,14000,5348317,20810,18712,0,100,English,USA,R,10000000,2015,3000,0.71,7000
Color,121,99,35,433,3000,35057332,45394,4863,0,72,English,USA,PG-13,33000000,2012,594,0.65,19000
Color,60,100,36,554,13000,17218080,43376,15944,0,249,English,USA,R,70000000,1991,773,0.57,7000
Color,117,99,23,135,405,31136950,47364,1066,1,75,English,USA,PG-13,44000000,2010,268,0.65,7000
Color,138,105,43,827,22000,1796024,34985,37766,1,135,English,USA,R,22000000,2010,14000,0.54,7000
Color,82,116,70,706,1000,24397469,5161,5804,7,48,English,USA,PG-13,17000000,2012,876,0.57,7000
Color,72,108,610,461,848,70450000,77390,2913,2,189,English,USA,R,50000000,1996,517,0.6,7000
